year,total,chemistry,economics,literature,medicine,peace,physics
1901,6,1,0,1,1,2,1
1902,7,1,0,1,1,2,2
1903,7,1,0,1,1,1,3
1904,6,1,0,2,1,1,1
1905,5,1,0,1,1,1,1
1906,6,1,0,1,2,1,1
1907,6,1,0,1,1,2,1
1908,7,1,0,1,2,2,1
1909,7,1,0,1,1,2,2
1910,5,1,0,1,1,1,1
1911,6,1,0,1,1,2,1
1912,6,2,0,1,1,1,1
1913,5,1,0,1,1,1,1
1914,3,1,0,0,1,0,1
1915,4,1,0,1,0,0,2
1916,1,0,0,1,0,0,0
1917,4,0,0,2,0,1,1
1918,2,1,0,0,0,0,1
1919,4,0,0,1,1,1,1
1920,5,1,0,1,1,1,1
1921,5,1,0,1,0,2,1
1922,6,1,0,1,2,1,1
1923,5,1,0,1,2,0,1
1924,3,0,0,1,1,0,1
1925,6,1,0,1,0,2,2
1926,6,1,0,1,1,2,1
1927,7,1,0,1,1,2,2
1928,4,1,0,1,1,0,1
1929,7,2,0,1,2,1,1
1930,5,1,0,1,1,1,1
1931,6,2,0,1,1,2,0
1932,5,1,0,1,2,0,1
1933,5,0,0,1,1,1,2
1934,6,1,0,1,3,1,0
1935,5,2,0,0,1,1,1
1936,7,1,0,1,2,1,2
1937,7,2,0,1,1,1,2
1938,5,1,0,1,1,1,1
1939,5,2,0,1,1,0,1
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,4,1,0,0,2,0,1
1944,6,1,0,1,2,1,1
1945,7,1,0,1,3,1,1
1946,8,3,0,1,1,2,1
1947,8,1,0,1,3,2,1
1948,4,1,0,1,1,0,1
1949,6,1,0,1,2,1,1
1950,8,2,0,1,3,1,1
1951,7,2,0,1,1,1,2
1952,7,2,0,1,1,1,2
1953,6,1,0,1,2,1,1
1954,9,1,0,1,4,1,2
1955,5,1,0,1,1,0,2
1956,9,2,0,1,3,0,3
1957,6,1,0,1,1,1,2
1958,9,1,0,1,3,1,3
1959,7,1,0,1,2,1,2
1960,6,1,0,1,2,1,1
1961,6,1,0,1,1,1,2
1962,8,2,0,1,3,1,1
1963,11,2,0,1,3,2,3
1964,8,1,0,1,2,1,3
1965,9,1,0,1,3,1,3
1966,6,1,0,2,2,0,1
1967,8,3,0,1,3,0,1
1968,7,1,0,1,3,1,1
1969,10,2,2,1,3,1,1
1970,9,1,1,1,3,1,2
1971,6,1,1,1,1,1,1
1972,11,3,2,1,2,0,3
1973,12,2,1,1,3,2,3
1974,12,1,2,2,3,2,2
1975,12,2,2,1,3,1,3
1976,9,1,1,1,2,2,2
1977,11,1,2,1,3,1,3
1978,11,1,1,1,3,2,3
1979,11,2,2,1,2,1,3
1980,11,3,1,1,3,1,2
1981,11,2,1,1,3,1,3
1982,9,1,1,1,3,2,1
1983,7,1,1,1,1,1,2
1984,9,1,1,1,3,1,2
1985,8,2,1,1,2,1,1
1986,11,3,1,1,2,1,3
1987,9,3,1,1,1,1,2
1988,12,3,1,1,3,1,3
1989,10,2,1,1,2,1,3
1990,11,1,3,1,2,1,3
1991,7,1,1,1,2,1,1
1992,7,1,1,1,2,1,1
1993,11,2,2,1,2,2,2
1994,12,1,3,1,2,3,2
1995,12,3,1,1,3,2,2
1996,13,3,2,1,2,2,3
1997,12,3,2,1,1,2,3
1998,12,2,1,1,3,2,3
1999,7,1,1,1,1,1,2
2000,13,3,2,1,3,1,3
2001,15,3,3,1,3,2,3
2002,13,3,2,1,3,1,3
2003,11,2,2,1,2,1,3
2004,12,3,2,1,2,1,3
2005,13,3,2,1,2,2,3
2006,9,1,1,1,2,2,2
2007,12,1,3,1,3,2,2
2008,12,3,1,1,3,1,3
2009,13,3,2,1,3,1,3
2010,11,3,3,1,1,1,2
2011,13,1,2,1,3,3,3
2012,10,2,2,1,2,1,2
2013,13,3,3,1,3,1,2
2014,13,3,1,1,3,2,3
2015,11,3,1,1,3,1,2
2016,11,3,2,1,1,1,3